retailer,estimated_tires,actual_date,registration_number,name_of_business,contact_person,location,mailing_address,city,province,postal_code,phone_number,fax_number,county,km,time,round_trip_km,round_trip_time,round_trip_cost,latitude,longitude
2792,300,6/17/2024,2792.0,Chaleur Regional Service Commission,Jocelyne Hackey,1300 Route 360,1300 Route 360,Allardville,NB,E8L 1H5,(506) 542-2696,,3,218.243,2.5116666666666667,436.486,5.023333333333333,1053.5,47.45141659999999,-65.6063772
2792,300,1/1/1900,2792.0,Chaleur Regional Service Commission,Jocelyne Hackey,1300 Route 360,1300 Route 360,Allardville,NB,E8L 1H5,(506) 542-2696,,3,218.243,2.5116666666666667,436.486,5.023333333333333,1053.5,47.45141659999999,-65.6063772
3142,100,6/17/2024,3142.0,HD Garage,Huguette Doucet,549 Route 160,549 Route 160,Allardville,NB,E8L 1K4,(506) 725-2948,,3,211.214,2.4347222222222222,422.428,4.8694444444444445,1030.4166666666667,47.4815864,-65.4645129
3380,500,1/1/1900,3380.0,BMF Repair,Blair Fitzgerald,177 Ashland Road,177 Ashland Road,Ashland,NB,E7P 1S9,(506) 375-6986,,2,145.201,1.9777777777777776,290.402,3.955555555555556,893.3333333333334,46.3267925,-67.4457139
1260,50,6/6/2024,1260.0,Central Garage Ltd.,Rober Cormier,76 rue Notre Dame,76 rue Notre Dame,Atholville,NB,E3N 3Z2,(506) 753-7731,(506) 753-6597,5,337.015,3.631388888888889,674.03,7.262777777777778,1389.4166666666667,47.9967312,-66.7082148
1424,400,1/1/1900,1424.0,Loubert Station Service Ltd.,Serge Loubert,386 Rue Notre Dame,386 Rue Notre Dame,Atholville,NB,E3N 4A2,(506) 789-0201,(506) 789-0528,4A,339.27,3.674166666666667,678.54,7.348333333333334,1402.25,47.9840615,-66.7351992
2113,200,7/18/2024,2113.0,Vision Ford Inc.,Eric Drapeau,"105, Sister Green Road","105, Sister Green Road",Atholville,NB,E3N 5C5,(506) 753-5001,,5,336.1,3.618333333333333,672.2,7.236666666666666,1385.5,47.9926051,-66.69880669999999
2264,100,1/1/1900,2264.0,Generation Hyundai,Shelley Grimes,3 Jagoe St.,3 Jagoe St.,Atholville,NB,E3N 5C2,(506) 753-8224,,5,336.115,3.628888888888889,672.23,7.257777777777778,1388.6666666666667,47.9935025,-66.7030006
1807,75,1/1/1900,1807.0,Avondale Auto Service,David Walton,340 White Road,340 White Road,Avondale,NB,E7K 1Y5,(506) 375-8769,,2,175.517,1.9113888888888888,351.034,3.8227777777777776,873.4166666666666,46.31454,-67.64546
1372,2000,5/29/2024,1372.0,Landry Tire Shop,Roch Landry,758 Ave. des Pionniers,758 Ave des Pionniers,Balmoral,NB,E8E 1E4,(506) 826-2061,(506) 826-2061,5,311.877,3.4094444444444445,623.754,6.818888888888889,1322.8333333333333,47.9784144,-66.4197975
1372,4000,1/1/1900,1372.0,Landry Tire Shop,Roch Landry,758 Ave. des Pionniers,758 Ave des Pionniers,Balmoral,NB,E8E 1E4,(506) 826-2061,(506) 826-2061,5,311.877,3.4094444444444445,623.754,6.818888888888889,1322.8333333333333,47.9784144,-66.4197975
2668,250,5/23/2024,2668.0,Mecanik SJP,Serge Pelletier,2710 ave des Pionniers,2710 ave des Pionniers,Balmoral,NB,E8E 1G6,(506) 826-3653,(506) 826-2631,5,320.807,3.546111111111111,641.614,7.092222222222222,1363.8333333333333,47.94955849999999,-66.5317283
2739,1500,1/1/1900,2739.0,Conrad McIntyre Garage Inc./ Michelin,Jenny Chouinard,495 Avenue de Pionniers,495 Avenue de Pionniers,Balmoral,NB,E8E 1B2,(506) 826-2633,,5,310.679,3.3875,621.358,6.775,1316.25,47.9835151,-66.40549519999999
3348,500,1/1/1900,3348.0,Kevin Savoie Auto Services,Kevin Savoie,596 rue Drapeau,596 rue Drapeau,Balmoral,NB,E8E 1K7,(506) 874-0821,,5,311.268,3.428333333333333,622.536,6.8566666666666665,1328.4999999999998,47.9637948,-66.38609199999999
3610,100,6/20/2024,3610.0,Mountain View Auto Ltd.,Hank Williams/Hollie Williams,15 Moose Mountain Rd.,15 Moose Mountain Rd.,Moose Mountain,NB,E7J 1P7,(506) 323-2027,,2,213.592,2.367777777777778,427.184,4.735555555555556,1010.3333333333334,46.59394,-67.64016
1225,100,7/18/2024,1225.0,City Center Service Station Ltd.,Claude Doucette,402 Murray Avenue,402 Murray Avenue,Bathurst,NB,E2A 1T5,(506) 546-9408,,3,231.81,2.625555555555556,463.62,5.251111111111111,1087.6666666666667,47.6183396,-65.6500013
1346,200,5/22/2024,1346.0,Hatheway Limited,Johanne Martin,1030 St. Anne Street,1030 St. Anne Street,Bathurst,NB,E2A 6X2,(506) 546-4464,(506) 546-0894,3,235.391,2.644722222222222,470.782,5.289444444444444,1093.4166666666667,47.6256274,-65.69261070000002
1390,2500,6/18/2024,1390.0,C.T.R. Tire NB Ltd.,Fancine Aube,1870 King Ave,P.O. Box 204,Bathurst,NB,E2A 3Z2,(506) 546-4145,(506) 546-4145,3,229.997,2.565,459.994,5.13,1069.5,47.599038,-65.6576986
1390,5000,1/1/1900,1390.0,C.T.R. Tire NB Ltd.,Fancine Aube,1870 King Ave,P.O. Box 204,Bathurst,NB,E2A 3Z2,(506) 546-4145,(506) 546-4145,3,229.997,2.565,459.994,5.13,1069.5,47.599038,-65.6576986
1835,250,5/13/2024,1835.0,Bayside Chrysler Dodge Ltd.,Kim Scott,1374 St. Peter Ave.,1374 St. Peter Ave.,Bathurst,NB,E2A 3A5,(506) 546-6606,(506) 546-9956,3,237.663,2.662777777777778,475.326,5.325555555555556,1098.8333333333337,47.64028200000001,-65.6808598
1869,200,7/18/2024,1869.0,Department of Transportation,Michel LeClair,"3109 Route 134, Miramichi Road",P.O. Box 476,Bathurst,NB,E2A 3Z4,(506) 547-2144,,3,223.789,2.580555555555556,447.578,5.161111111111111,1074.1666666666667,47.58282699999999,-65.5949127
1885,400,5/13/2024,1885.0,Canadian Tire (A&B Deschenes Sales Ltd),Andre Deschenes,520 St. Peter Ave.,520 St. Peter Ave.,Bathurst,NB,E2A 2Y7,(506) 547-8120,(506) 547-8131,3,234.527,2.705277777777778,469.054,5.410555555555556,1111.5833333333333,47.6305072,-65.6648386
3691,400,7/12/2024,,,,,,,,,,,,,,,,,,
2364,60,7/18/2024,2364.0,Curt's Auto Repair Ltd.,Curtis Bennet,2525 St. Peter Ave.,2525 St. Peter Ave.,Bathurst,NB,E2A 7K3,(506) 545-7978,,3,240.363,2.713055555555556,480.726,5.426111111111111,1113.9166666666667,47.6636234,-65.6847733
3496,1000,7/18/2024,3496.0,J.&J. Branch Contracting Ltd. (Bathurst Tire),Jansen Branch,2020 Industrial Drive,2020 Industrial Drive,Bathurst,NB,E2A 4W7,(506) 543-7686,,3,228.899,2.5661111111111112,457.798,5.132222222222223,1069.8333333333333,47.59979,-65.62474
2886,500,1/1/1900,2886.0,Arcelormittal,Linda LeClair,2080 Indusrial Ave.,2080 Industrial Ave.,Bathurst,NB,E2A 4W7,(506) 547-9813,,3,229.346,2.5797222222222222,458.692,5.1594444444444445,1073.9166666666667,47.5969674,-65.6255872
3105,200,5/22/2024,3105.0,JDI Hatheway Auto Ltd.,Paul Wood,1060 St. Anne St,1060 St. Anne St,Bathurst,NB,E2A 6X2,(506) 548-8988,,3,235.251,2.6294444444444443,470.502,5.2588888888888885,1088.8333333333333,47.6265716,-65.6947784
3485,600,7/12/2024,3485.0,Averton Ventures Inc. (old Pneus du Boulevard),Morgan Coombs,2464 St. Peter Avenue,2464 St. Peter Avenue,Bathurst,NB,E2A 7K2,(506) 544-0639,,3,240.266,2.711388888888889,480.532,5.422777777777778,1113.4166666666667,47.66315420000001,-65.6835041
3541,175,1/1/1900,3541.0,Todd Field Automotive Inc.,Todd Field,1275 King Ave.,,Bathurst,NB,E2A 1R7,(506) 588-8737,,3,230.968,2.5836111111111117,461.936,5.167222222222223,1075.0833333333337,47.6065599,-65.65190919999999
2949,50,1/1/1900,2949.0,Kelly Arnold Alder,Kelly Alder,150 Bridge St.,150 Bridge St.,Sackville,NB,E4L 3P7,(506) 364-7688,,6,202.392,2.1172222222222223,404.784,4.234444444444445,935.1666666666669,45.8940524,-64.3517602
2573,120,7/15/2024,2573.0,Claude Carrier Towing,Claude Carrier,3725 Main St.,3725 Main St.,Belledune,NB,E8G 2K2,(506) 237-1100,(506) 237-5277,3,278.995,3.055277777777778,557.99,6.110555555555556,1216.5833333333337,47.9183558,-65.9879993
3069,500,7/15/2024,3069.0,Carmichael Towing,Gary Carmichael,381 Archibald Rd.,381 Archibald Rd.,Belledune,NB,E8G 1V4,(506) 237-5213,,3,285.544,3.168888888888889,571.088,6.337777777777778,1250.6666666666663,47.9047546,-66.0583224
2760,2000,6/6/2024,2760.0,Southeast Regional Service Commission #7,Trina Young,2024 Route 128,2024 Route 128,Berry Mills,NB,E1C 8T6,(506) 877-1050,,6,144.556,1.5722222222222222,289.112,3.1444444444444444,771.6666666666666,46.1015333,-64.8880459
2601,1750,1/1/1900,2601.0,Arm' n Sons,Arman Richardson,1620 Route 11,1620 Route 11,Berryville,NB,E9G 4H6,(506) 776-8568,,1,180.251,2.120277777777778,360.502,4.240555555555556,936.0833333333334,47.14707199999999,-65.2528842
2190,100,7/18/2024,2190.0,V&P Construction Ltd.,Peter Ross,"6395, Route 8","6395, Route 8",Boiestown,NB,E6A 1Z6,(506) 369-7139,,1,92.994,1.159166666666667,185.988,2.3183333333333334,647.75,46.4696681,-66.3967091
1994,100,6/25/2024,1994.0,Leo Service Shop,Leo LeBlanc,108 chemin du Couvert,108 chemin du Couvert,Bouctouche,NB,E4S 3C1,(506) 743-5592,,4,145.966,1.7641666666666669,291.932,3.5283333333333333,829.25,46.4800137,-64.7023073
3651,1000,5/10/2024,3651.0,RCL Autoworks Inc.,Rheal Richard,170 Chemin du Couvent,170 Chemin du Couvent,Bouctouche,NB,E4S 3C1,(506) 955-5183,,6,146.461,1.773611111111111,292.922,3.547222222222222,832.0833333333334,46.4804292,-64.6977819
3283,150,4/10/2024,3283.0,G.L. Auto Service Inc.,Gabriel or Barbara LeBlanc,30 rue Industrielle,30 rue Industrielle,Bouctouche,NB,E4S 3H9,(506) 850-4000,,4,145.795,1.7466666666666666,291.59,3.493333333333333,824.0,46.4674036,-64.73766239999999
3283,175,6/25/2024,3283.0,G.L. Auto Service Inc.,Gabriel or Barbara LeBlanc,30 rue Industrielle,30 rue Industrielle,Bouctouche,NB,E4S 3H9,(506) 850-4000,,4,145.795,1.7466666666666666,291.59,3.493333333333333,824.0,46.4674036,-64.73766239999999
1121,100,1/1/1900,1121.0,Tim's Auto Repair,Tim Hicks,2703 Route 106,2703 Route 106,Boundary Creek,NB,E1G 4M5,(506) 372-4900,,6,135.748,1.5391666666666666,271.496,3.078333333333333,761.75,46.0543169,-64.9994135
3075,130,7/2/2024,3075.0,Salisbury Road Automotive,Lee O'Brien,2520 Route 106,2520 Route 106,Boundary Creek,NB,E1G 4M2,(506) 215-1001,,6,137.386,1.561388888888889,274.772,3.122777777777778,768.4166666666666,46.0549141,-64.978241
3189,400,2/14/2024,3189.0,Triple A Automotive Inc.,Joshua Arbeau,46 Kelty Court,46 Kelty Court,Burton,NB,E2V 4S4,(506) 442-1964,,13,50.288,0.68,100.576,1.36,504.00000000000006,45.859781,-66.437957
2965,300,1/1/1900,2965.0,Roach Enterprises Ltd.,Thomas Roach,416 Back California Settlement Road,416 Back California Settlement Road,California Settlement,NB,E3Z 1V6,(506) 473-1830,,11,247.094,2.565555555555556,494.188,5.131111111111111,1069.6666666666667,46.901309,-67.7805913
3199,70,7/3/2024,3199.0,C.A.R. Equipment,Troy Ham,2679 Lower Cambridge Road,2679 Lower Cambridge Road,Cambridge Narrows,NB,E4C 1P9,(506) 488-1188,,7,70.079,0.9438888888888888,140.158,1.8877777777777776,583.1666666666667,45.7951,-65.97896
3199,50,7/3/2024,3199.0,C.A.R. Equipment,Troy Ham,2679 Lower Cambridge Road,2679 Lower Cambridge Road,Cambridge Narrows,NB,E4C 1P9,(506) 488-1188,,7,70.079,0.9438888888888888,140.158,1.8877777777777776,583.1666666666667,45.7951,-65.97896
1095,200,4/23/2024,1095.0,Mundles Service Ltd.,Michael Mundle,5 Ramsay St.,5 Ramsay St.,Campbellton,NB,E3N 1T2,(506) 759-8881,(506) 753-5175,5,334.4,3.609722222222222,668.8,7.219444444444444,1382.9166666666667,48.010928,-66.666637
1095,800,1/1/1900,1095.0,Mundles Service Ltd.,Michael Mundle,5 Ramsay St.,5 Ramsay St.,Campbellton,NB,E3N 1T2,(506) 759-8881,(506) 753-5175,5,334.4,3.609722222222222,668.8,7.219444444444444,1382.9166666666667,48.010928,-66.666637
1192,500,1/1/1900,1192.0,Luc& Benny Muffler Shop,Daniel Levesque,51 Water Street,51 Water Street,Campbellton,NB,E3N 1A9,(506) 759-8553,(506) 759-7367,5,334.822,3.622777777777778,669.644,7.245555555555556,1386.8333333333333,48.0088358,-66.67136839999999
3656,100,7/18/2024,3656.0,Kaizen Investments Inc.,Denise Felix,388 Dover Street,388 Dover Street,Campbellton,NB,E3N 3M7,(506) 789-8725,,2,336.569,3.6302777777777777,673.138,7.260555555555555,1389.0833333333333,47.9923134,-66.6943725
3279,150,6/6/2024,3279.0,GP Transmissions & Auto Repair Inc.,Kateland Matchett,47 Vanier St.,47 Vanier St.,Campbellton,NB,E3N 1T8,(800) 420-8233,,5,333.448,3.5894444444444447,666.896,7.178888888888889,1376.8333333333333,48.0039025,-66.6513879
3214,200,6/3/2024,3214.0,Daniel Belanger,Daniel Belanger,2839 Chemin Acadie,2839 Chemin Acadie,Cap Pele,NB,E4N 1C4,(506) 577-4388,,6,200.305,2.105277777777778,400.61,4.210555555555556,931.5833333333334,46.20302330000001,-64.2536753
1455,800,6/13/2024,1455.0,Pneus du Boulevard,Yves Mourant,461 Blvd. St. Pierre Ouest,461 Bvld. St Pierre 0uest,Caraquet,NB,E1W 1A3,(506) 727-7488,(506) 727-3106,3,269.677,3.215,539.354,6.43,1264.5,47.7759946,-64.9938784
1455,1000,6/25/2024,1455.0,Pneus du Boulevard,Yves Mourant,461 Blvd. St. Pierre Ouest,461 Bvld. St Pierre 0uest,Caraquet,NB,E1W 1A3,(506) 727-7488,(506) 727-3106,3,269.677,3.215,539.354,6.43,1264.5,47.7759946,-64.9938784
2535,250,4/16/2024,2535.0,Bocar Racing -  646424 NB Limited,Suzanne Bertin,36 rue du Portage,36 rue du Portage,Caraquet,NB,E1W 1A8,(506) 726-1008,(506) 726-6178,3,266.278,3.1733333333333333,532.556,6.346666666666667,1252.0000000000002,47.7897511,-64.937058
3315,100,6/25/2024,3315.0,Gauvin Auto Ltee,Jean-Yves Gauvin,389 Boul  St-Pierre O,389 Boul  St-Pierre O,Caraquet,NB,E1W 1A3,(506) 727-6450,,3,270.078,3.2319444444444443,540.156,6.463888888888889,1269.5833333333333,47.7795257,-64.9865035
2110,500,1/1/1900,2110.0,Taylor Feed and Tires Ltd.,Ellen Taylor,842 Central St.,842 Central St.,Centreville,NB,E7K 2E7,(506) 276-4574,,2,193.089,2.013611111111111,386.178,4.027222222222222,904.0833333333331,46.4313681,-67.7193526
2050,100,6/21/2024,2050.0,Meril Garage,Nicole Michaud,40 Avenue Hotel-de-Ville,40 Avenue Hotel-de-Ville,Clair,NB,E7A 2E9,(506) 992-2890,,9,356.214,3.7675,712.428,7.535,1430.25,47.252122,-68.6075413
2651,200,5/14/2024,2651.0,Garage Don Performance,Jocelyn Bonenfont,612 rue Principale,612 rue Principale,Clair,NB,E7A 2H2,(506) 992-3861,,9,354.911,3.720833333333333,709.822,7.441666666666666,1416.25,47.2576828,-68.5998465
3492,200,7/15/2024,3492.0,Babs Auto Service,Andre Babin,1227 Route 205,1227 Route 205,Clair,NB,E7A 1Y1,(506) 992-3236,,9,358.363,3.7775,716.726,7.555,1433.25,47.24463249999999,-68.63734
1,500,5/22/2024,1.0,Cocagne Tires,Fernand Cormier,2840 Route 535,1840 Route 535,Cocagne,NB,E4R 3H4,(506) 576-7855,,6,159.477,1.9225,318.954,3.845,876.7500000000001,46.3841015,-64.6180018
1,600,1/1/1900,1.0,Cocagne Tires,Fernand Cormier,2840 Route 535,1840 Route 535,Cocagne,NB,E4R 3H4,(506) 576-7855,,6,159.477,1.9225,318.954,3.845,876.7500000000001,46.3841015,-64.6180018
2427,200,4/18/2024,2427.0,Shawn's Tire and Auto Repair,Rodney Lewis,139 Lewis Rd.,139 Lewis Rd.,Colpitt's Settlement,NB,E4J 1G1,(506) 372-4866,(506) 372-5611,14,136.976,1.6191666666666666,273.952,3.2383333333333333,785.75,45.9508622,-64.99322169999999
2619,250,1/8/2024,2619.0,R. Stevens Mechanical,Robert Stevens,687 Salisbury Back Rd.,687 Salisbury Back Rd.,Colpitts Settlement,NB,E4J 1K6,(506) 372-4333,,14,127.659,1.4619444444444445,255.318,2.923888888888889,738.5833333333334,45.98230600000001,-65.08473
2619,200,1/1/1900,2619.0,R. Stevens Mechanical,Robert Stevens,687 Salisbury Back Rd.,687 Salisbury Back Rd.,Colpitts Settlement,NB,E4J 1K6,(506) 372-4333,,14,127.659,1.4619444444444445,255.318,2.923888888888889,738.5833333333334,45.98230600000001,-65.08473
3085,80,1/1/1900,3085.0,Eric D. Auto Service Eng.,Eric Duguay,1943 Route 310,1943 Route 310,"Coteau Rd.,",NB,E8T 3K9,(506) 344-8596,,3,284.687,3.5075,569.374,7.015,1352.25,47.8403338,-64.5521984
1913,200,1/1/1900,1913.0,Lounsbury Co. Ltd.,Karen Dunham,456 William St.,"1655 Mountain Rd. P.O. Box 6010, Moncton",Dalhousie,NB,E1C 9P2,(506) 684-1929,(506) 684-4191,5,317.31,3.4658333333333333,634.62,6.931666666666667,1339.75,48.0664974,-66.3795347
3567,100,1/1/1900,3567.0,Richardson Marine Services Ltd. (Quoddy Transport),Blaine Richardson,10 New Cemetery Road,10 New Cemetery Road,Deer Island,NB,E5V 1L2,(506) 754-2154,,,174.997,2.924166666666667,349.994,5.848333333333334,1177.25,44.9770495,-66.9560891
2034,300,6/6/2024,2034.0,Coast Tire & Auto Service Ltd.,Paulette Price,95 rue St. Therese,95 rue St. Therese,Dieppe,NB,E2K 1J5,(506) 859-8818,,11,158.465,1.7847222222222223,316.93,3.5694444444444446,835.4166666666667,46.096185,-64.7557892
2117,200,1/1/1900,2117.0,Champlain Auto Body,Andrew Barkhouse,596 Champlain St.,596 Champlain St.,Dieppe,NB,E1A 1P4,(506) 857-0222,,11,163.303,1.821388888888889,326.606,3.642777777777778,846.4166666666666,46.0987926,-64.7298489
2138,400,6/26/2024,2138.0,G. Bourque Ltd.,Gilles Bourque,1200 Champlain St.,1200 Champlain St.,Dieppe,NB,E1A 1R1,(506) 383-4585,,11,162.207,1.8016666666666667,324.414,3.6033333333333335,840.5,46.1042987,-64.69861639999999
3548,100,1/1/1900,3548.0,Atlantic Mazda (Pro Shine),Tanya Nowlan,81 Sylvio Street,81 Sylvio Street,Dieppe,NB,E1A 7G1,(506) 229-7751,,11,161.951,1.7858333333333334,323.902,3.5716666666666668,835.7500000000001,46.11037220000001,-64.7023873
3598,150,1/1/1900,3598.0,D1 Autotech Ltd.,Alexandre Lang,591 Ferdinand Blvd. Unit 1,591 Ferdinand Blvd. Unit 1,Dieppe,NB,E1A 7G1,(506) 872-2024,,11,162.161,1.801111111111111,324.322,3.602222222222222,840.3333333333334,46.1117333,-64.70047029999999
3686,200,6/3/2024,,,,,,,,,,,,,,,,,,
3670,50,4/24/2024,3670.0,Moncton Lube Limited,Robert Logan,65 Champlain Street,65 Champlain Street,Dieppe,NB,E1A 1N4,(506) 858-0711,,11,158.169,1.7727777777777778,316.338,3.545555555555556,831.8333333333334,46.0943423,-64.75623949999999
3670,150,5/23/2024,3670.0,Moncton Lube Limited,Robert Logan,65 Champlain Street,65 Champlain Street,Dieppe,NB,E1A 1N4,(506) 858-0711,,11,158.169,1.7727777777777778,316.338,3.545555555555556,831.8333333333334,46.0943423,-64.75623949999999
3670,150,6/13/2024,3670.0,Moncton Lube Limited,Robert Logan,65 Champlain Street,65 Champlain Street,Dieppe,NB,E1A 1N4,(506) 858-0711,,11,158.169,1.7727777777777778,316.338,3.545555555555556,831.8333333333334,46.0943423,-64.75623949999999
3670,150,1/1/1900,3670.0,Moncton Lube Limited,Robert Logan,65 Champlain Street,65 Champlain Street,Dieppe,NB,E1A 1N4,(506) 858-0711,,11,158.169,1.7727777777777778,316.338,3.545555555555556,831.8333333333334,46.0943423,-64.75623949999999
2557,100,1/1/1900,2557.0,Rallye Motoplex (Atlantic Motoplex),Todd LeBlanc,950 Champlain St.,950 Champlain St.,Dieppe,NB,E1A 1P8,(506) 383-1022,(506) 383-8540,11,161.9,1.791111111111111,323.8,3.582222222222222,837.3333333333334,46.10232209999999,-64.7126783
2562,100,5/21/2024,2562.0,JP's Garage Inc.,John Paul Belliveau,1105 Champlain St.,1105 Champlain St.,Dieppe,NB,E1A 8L8,(506) 860-6018,(506) 856-9700,11,161.833,1.7908333333333333,323.666,3.5816666666666666,837.25,46.1051018,-64.7033639
2724,1000,6/26/2024,2724.0,Les Pneus Goguen Tires,Marc Goguen,1140 rue Champlain,1140 rue Champlain,Dieppe,NB,E1A 8L8,(506) 388-9922,,11,162.239,1.804722222222222,324.478,3.609444444444444,841.4166666666665,46.1044087,-64.7007654
2724,1000,7/3/2024,2724.0,Les Pneus Goguen Tires,Marc Goguen,1140 rue Champlain,1140 rue Champlain,Dieppe,NB,E1A 8L8,(506) 388-9922,,11,162.239,1.804722222222222,324.478,3.609444444444444,841.4166666666665,46.1044087,-64.7007654
3428,150,6/18/2024,3428.0,Downforce Autoworks,Mathieu LeBlanc,687 Malenfant Blvd,687 Malenfant Blvd,Dieppe,NB,E1A 5T8,(506) 382-3966,,11,162.289,1.7997222222222222,324.578,3.5994444444444444,839.9166666666666,46.1036307,-64.7214455
1922,500,7/9/2024,1922.0,Stewarts Service Station,Bill Stewart,605 Main Street,605 Main Street,Doaktown,NB,E9C 1Y3,(506) 365-4667,,1,71.767,0.9052777777777776,143.534,1.8105555555555557,571.5833333333333,46.5717452,-66.1011769
3619,30,3/13/2024,3619.0,MechMuffler & Custom Exhaust Inc.,Katie Leavitt,30 Disher Lane,30 Disher Lane,Dufferin,NB,E3L 2W9,(506) 466-1180,,8,178.77,2.1475,357.54,4.295,944.25,45.2130883,-67.2515281
3417,400,3/13/2024,3417.0,Triple H Automotive,Shawn Hyslop,42 Route 170,42 Route 170,Dufferin,NB,E3L 3X2,(506) 466-0031,,8,177.022,2.1041666666666665,354.044,4.208333333333333,931.25,45.20717,-67.2668688
3417,300,1/1/1900,3417.0,Triple H Automotive,Shawn Hyslop,42 Route 170,42 Route 170,Dufferin,NB,E3L 3X2,(506) 466-0031,,8,177.022,2.1041666666666665,354.044,4.208333333333333,931.25,45.20717,-67.2668688
3425,600,7/15/2024,3425.0,Dave's Auto Salvage and Sales,David Demerchant,469 East Brighton Road,469 East Brighton Road,East Brighton,NB,E7P 2H5,(506) 375-4555,,2,141.83,1.9652777777777777,283.66,3.9305555555555554,889.5833333333333,46.26753,-67.45984
1287,300,2/13/2024,1287.0,Parent Tire Sales Ltd.,Hermel Cyr,565 Victoria St.,565 Victoria St.,Edmundston,NB,E3V 3M8,(506) 735-3833,(506) 735-8032,9,326.311,3.263055555555556,652.622,6.526111111111111,1278.9166666666663,47.3816919,-68.3359067
1287,500,5/21/2024,1287.0,Parent Tire Sales Ltd.,Hermel Cyr,565 Victoria St.,565 Victoria St.,Edmundston,NB,E3V 3M8,(506) 735-3833,(506) 735-8032,9,326.311,3.263055555555556,652.622,6.526111111111111,1278.9166666666663,47.3816919,-68.3359067
1287,200,1/1/1900,1287.0,Parent Tire Sales Ltd.,Hermel Cyr,565 Victoria St.,565 Victoria St.,Edmundston,NB,E3V 3M8,(506) 735-3833,(506) 735-8032,9,326.311,3.263055555555556,652.622,6.526111111111111,1278.9166666666663,47.3816919,-68.3359067
1451,250,4/22/2024,1451.0,Canadian Tire (Lauzon Supplies Ltd.),Gerard Ouellette,590 Victoria St.,590 Victoria St.,Edmundston,NB,E3V 3N1,(506) 735-8801,(506) 735-0609,9,326.416,3.2644444444444445,652.832,6.528888888888889,1279.3333333333337,47.3830374,-68.3381814
1451,300,5/30/2024,1451.0,Canadian Tire (Lauzon Supplies Ltd.),Gerard Ouellette,590 Victoria St.,590 Victoria St.,Edmundston,NB,E3V 3N1,(506) 735-8801,(506) 735-0609,9,326.416,3.2644444444444445,652.832,6.528888888888889,1279.3333333333337,47.3830374,-68.3381814
1541,200,1/1/1900,1541.0,Edmundston Honda,Daniel Marquis,475 Victoria St.,475 Victoria St.,Edmundston,NB,E3V 2K7,(506) 739-7716,(506) 739-7719,9,324.819,3.2494444444444444,649.638,6.498888888888889,1274.8333333333333,47.3784372,-68.3326289
1577,100,7/16/2024,1577.0,Violette Motors,Daniel DuFour,70 Boul. Chief Joanna MMFN,70 Boul. Chief Joanna MMFN,Edmundston,NB,E7C 0C1,(506) 737-9520,,9,322.462,3.2111111111111112,644.924,6.422222222222223,1263.3333333333337,47.372312,-68.2982835
1667,200,4/10/2024,1667.0,Martin Mazda,Ginette Deschêne,11 rue Pérusse,11 rue Perusse,Edmundston,NB,E3V 3K5,(506) 739-7713,,9,326.91,3.253888888888889,653.82,6.507777777777778,1276.1666666666667,47.3940501,-68.351019
1669,200,6/25/2024,1669.0,G & M Chev Buick GMC Cadillac Ltd.,Andree Jalbert,605 Victoria St.,605 Victoria St.,Edmundston,NB,E3V 3M8,(506) 735-3331,(506) 735-8004,9,326.14,3.251388888888889,652.28,6.502777777777778,1275.4166666666667,47.38390889999999,-68.33573369999999
